27,複数のLAN同士を，ネットワーク層で相互に接続するのに使用する装置はどれか。,ハブ,ブリッジ,リピータ,ルータ,4,LAN同士を接続する機器にはいくつかありますが、問題文に「ネットワーク層で相互に接続」とあるのでIPアドレスを用いて転送経路を決めるルータが該当します。,ＩＴ関連
28,検索サイトの検索結果の上位に悪意のあるサイトが並ぶように細工する攻撃の名称はどれか。,DNSキャッシュポイズニング,SEOポイズニング,クロスサイトスクリプティング,ソーシャルエンジニアリング,2,SEOポイズニングは、ウイルスなどを仕込んだ悪意のあるページ(又はそのページへの入口となるページ)に様々なSEO対策を施すことで検索結果の上位に表示させ、キーワードの検索などによって訪れた不特定多数のユーザに対して「マルウェアのダウンロード」や「不正サイトへのリダイレクト」などの仕掛けを用いて攻撃する行為です。,ＩＴ関連
29,"記録媒体の記録層として有機色素を使い，レーザ光にで焦げ跡を作ってデータを記録する光ディスクはどれか。
",CD-R,CD-RW,DVD-RAM,DVD-ROM,1,記録済みで市販されているCD-ROMはアルミニウム製の薄膜に記録するのに対し、CD-R(Compact Disc Recordable)では金属薄膜に塗布された有機色素の有無で反射の度合いを変化させます。,ＩＴ関連
30,データを分散して複数の磁気ディスクに書くことで，データを高速化する方式はどれか。,ストライピング,スワッピング,ディスクキャッシュ,ミラーリング,1,ストライピングは、複数のディスクに分散してデータを書き込むことで、アクセス性能を向上させる手法です。,ＩＴ関連
31,1815年3月パリに戻って再び皇帝となったナポレオンが、1815年6月に大敗した戦いを何と呼ぶ？,オランダ戦争,アウステルリッツの三帝会戦,ワーテルローの戦い,ファルツ戦争,3,"1815年3月、ナポレオンはパリに戻って再び皇帝の座につくが、それは“百日天下”に終わる。1815年6月、ワーテルローの戦いで大敗して、南大西洋のセントヘレナ島に流され、1821年にナポレオンはこの地で死亡した。

",世界史
32,1862年にヴィルヘルム1世からプロイセン首相に任じられた人物は誰か？,シュトレーゼマン,ディズレーリ,エーベルト,ビスマルク,4,"1862年にヴィルヘルム1世からプロイセン首相に任じられたのは、ビスマルクである。
ビスマルクは、鉄（武器）と血（兵士）、つまり軍事力を拡張する鉄血政策を進め、卓越した外交能力を発揮してヨーロッパの列強と渡り合った。",世界史
33,19世紀、オスマン帝国内の問題に干渉して対立するようになった、この国際対立を何と呼ぶ？,新絶対主義,南下政策,諸国民の春,東方問題,4,勢力拡張を狙うロシア・イギリス・フランスなどの列強は、こうしたオスマン帝国内の問題に干渉して対立するようになった。 この国際対立は、西欧の側からみて東方問題と呼ばれた。,世界史
34,1894～1895年、日清戦争がおきた、1895年に日本と清のあいだで結ばれた条約はどれか？,日中平和友好条約,下関条約,南京条約,北京条約,2,"1895年に日本と清のあいだで下関条約が結ばれた。
清は、朝鮮の独立、日本に対する遼東半島・台湾・澎湖諸島の割譲、賠償金の支払い、通商上の特権の付与、開港場での企業の設立などを認めた。",世界史
35,1825年、南米でスペインから独立した共和国はどこか？,ボリビア,ウルグアイ,ブラジル,パラグアイ,1,"1825年、南米でスペインから独立したのはボリビア共和国である。
スペイン本国がナポレオンに占領されて弱体化したことをきっかけに、南米のスペイン領では独立運動が盛んになった。",世界史
36,日本一小さな都道府県は？,香川県,島根県,東京都,沖縄県,1,"面積は約１８７５平方メートル。
東京ドーム約４万個分です。",地理
37,日本で一番。夜が短い場所は？,北海道小樽,北海道函館,北海道稚内,沖縄県石垣島,3,"ここは単純に
北に行けばいくほど夜が短くなるのです。
稚内は、日本の最北端の地ですから
必然的に夜は短い訳です。",地理
38,世界で最も寒い場所は?,"北極
",南極,北極と南極(実質同じ寒さ),ロシア,2,"北極は基本的に、氷山の高さは数メートル。
一方の南極は、平均２５００メートルもある厚い氷で覆われているのです。
一見すると北極も南極も同じくらいに見えますが実は寒さにかなりの差があったのですね。
",地理
39,"世界一の長距離列車はどれ?

",ヴィヴェック エクスプレス（インド）,大陸横断鉄道（アメリカ）,"シベリア鉄道（ロシア）
",大陸横断鉄道（オーストラリア）,3,"実に９２９７キロもあり、列車にも関わらず、片道７日間かかります。
地球１周が約４万キロですから地球の４分の１を列車で行っているんですね。
",地理
40,世界で面積の小さい国ベスト３はどれ？,"① バチカン市国
② ツバル国
③ サンマリノ共和国
","① モナコ公国
② バチカン市国
③ トンガ王国","① バチカン市国
② モナコ公国
③ ナウル共和国","① ナウル共和国
② トンガ王国
③ サンマリノ共和国

",3,"１位：バチカン市国(０．４４キロ平方メートル)
２位：モナコ公国（１．４９キロ平方メートル）
３位：ナウル共和国（２１キロ平方メートル）

一番小さいのがバチカンなのは有名ですが
２位３位はなかなか知らない人が多いと思います。",地理
